,RunId,iteration,Step,nVehicles,percent_emergency,Vehicle,Mean_speed,Emergency,Emergency_collisions,TrafficLight,Car0_direction,Car1_direction,Car2_direction,Car3_direction,Car4_direction,Vehicles_crossed_left,Vehicles_crossed_up,Vehicles_crossed_down,Vehicles_crossed_right
104,0,0,104,8,0.2,8,2.0,3,17,4,3,2,3,2,3,0,0,0,0
105,0,0,105,8,0.2,8,2.0,3,17,4,3,2,3,2,3,0,0,0,0
106,0,0,106,8,0.2,8,2.0,3,17,4,3,2,3,2,3,1,0,0,0
107,0,0,107,8,0.2,8,2.0,3,17,4,3,2,3,2,3,0,0,0,0
108,0,0,108,8,0.2,8,2.0,3,17,4,4,2,3,2,3,0,0,0,0
109,0,0,109,8,0.2,8,2.0,3,17,4,4,2,3,2,3,0,0,0,0
110,0,0,110,8,0.2,8,2.0,3,17,4,4,2,3,2,3,0,0,0,0
111,0,0,111,8,0.2,8,2.0,3,17,4,4,2,3,3,3,0,0,0,0
112,0,0,112,8,0.2,8,2.0,3,17,4,4,2,3,3,3,0,0,0,0
113,0,0,113,8,0.2,8,2.0,3,17,4,5,2,3,3,3,1,0,0,0
114,0,0,114,8,0.2,8,2.0,3,19,4,5,2,3,3,3,1,0,1,0
115,0,0,115,8,0.2,8,2.0,3,19,4,5,2,3,3,3,0,0,0,0
116,0,0,116,8,0.2,8,2.0,3,19,4,5,2,3,3,3,0,0,0,0
117,0,0,117,8,0.2,8,2.0,3,19,4,5,2,3,3,4,0,0,0,0
118,0,0,118,8,0.2,8,2.0,3,19,4,5,2,3,3,4,0,0,0,0
119,0,0,119,8,0.2,8,2.0,3,19,4,5,3,3,3,4,0,0,0,0
120,0,0,120,8,0.2,8,2.0,3,19,4,5,3,3,3,4,0,0,0,0
121,0,0,121,8,0.2,8,2.0,3,22,4,5,4,4,3,4,0,0,2,0
122,0,0,122,8,0.2,8,2.0,3,22,4,5,4,4,3,4,0,0,0,0
123,0,0,123,8,0.2,8,2.0,3,22,4,5,4,4,3,4,0,0,0,0
124,0,0,124,8,0.2,8,2.0,3,22,4,5,4,4,3,4,0,0,1,0
125,0,0,125,8,0.2,8,2.0,3,22,4,5,4,4,3,5,0,0,0,0
126,0,0,126,8,0.2,8,2.0,3,22,4,5,4,5,3,5,0,0,0,0
127,0,0,127,8,0.2,8,2.0,3,22,4,5,4,5,3,5,0,0,0,0
128,0,0,128,8,0.2,8,2.0,3,22,4,5,4,5,3,5,0,0,0,0
129,0,0,129,8,0.2,8,2.0,3,22,4,5,4,5,3,5,0,0,0,0
130,0,0,130,8,0.2,8,2.0,3,22,4,5,4,5,3,5,0,0,0,0
131,0,0,131,8,0.2,8,2.0,3,22,4,5,4,5,3,5,0,0,0,0
132,0,0,132,8,0.2,8,2.0,3,22,4,6,4,5,3,5,0,0,0,0
133,0,0,133,8,0.2,8,2.0,3,22,4,6,4,5,3,5,0,0,0,0
134,0,0,134,8,0.2,8,2.0,3,22,4,6,4,5,3,5,0,0,0,0
135,0,0,135,8,0.2,8,2.0,3,22,4,6,4,5,3,5,0,0,0,0
136,0,0,136,8,0.2,8,2.0,3,22,4,6,4,5,3,5,0,0,0,0
137,0,0,137,8,0.2,8,2.0,3,22,4,7,4,5,4,5,0,0,0,0
138,0,0,138,8,0.2,8,2.0,3,22,4,7,4,5,4,5,0,0,0,0
139,0,0,139,8,0.2,8,2.0,3,22,4,7,4,5,4,5,0,0,0,0
140,0,0,140,8,0.2,8,2.0,3,22,4,7,4,5,4,5,0,0,0,0
141,0,0,141,8,0.2,8,2.0,3,22,4,7,4,5,4,5,0,0,0,0
142,0,0,142,8,0.2,8,2.0,3,22,4,7,4,5,5,5,0,0,0,1
143,0,0,143,8,0.2,8,2.0,3,22,4,7,4,5,5,5,0,0,0,0
144,0,0,144,8,0.2,8,2.0,3,22,4,7,4,5,5,5,0,0,0,0
145,0,0,145,8,0.2,8,2.0,3,22,4,7,4,5,5,5,0,0,0,0
146,0,0,146,8,0.2,8,2.0,3,22,4,7,4,5,5,5,0,0,0,0
147,0,0,147,8,0.2,8,2.0,3,23,4,7,4,5,5,6,0,0,0,0
148,0,0,148,8,0.2,8,2.0,3,23,4,7,4,6,5,6,0,0,0,1
149,0,0,149,8,0.2,8,2.0,3,23,4,7,4,6,5,6,0,0,0,0
150,0,0,150,8,0.2,8,2.0,3,23,4,7,4,6,5,6,0,0,0,0
151,0,0,151,8,0.2,8,2.0,3,23,4,7,4,6,5,6,0,0,0,0
152,0,0,152,8,0.2,8,2.0,3,23,4,7,4,6,5,6,0,0,0,0
153,0,0,153,8,0.2,8,2.0,3,23,4,7,4,6,5,6,0,0,1,0
154,0,0,154,8,0.2,8,2.0,3,24,4,7,4,6,5,6,0,0,0,0
155,0,0,155,8,0.2,8,2.0,3,24,4,7,4,6,5,6,0,0,0,0
156,0,0,156,8,0.2,8,2.0,3,24,4,8,4,6,5,6,0,0,0,0
157,0,0,157,8,0.2,8,2.0,3,24,4,8,4,6,5,6,0,0,0,0
158,0,0,158,8,0.2,8,2.0,3,24,4,8,4,6,5,6,0,0,0,0
159,0,0,159,8,0.2,8,2.0,3,24,4,8,4,6,5,6,0,0,0,0
160,0,0,160,8,0.2,8,2.0,3,24,4,8,4,6,5,6,0,0,0,0
161,0,0,161,8,0.2,8,2.0,3,24,4,9,4,6,5,7,0,0,1,0
162,0,0,162,8,0.2,8,2.0,3,24,4,9,4,6,5,7,0,0,0,0
163,0,0,163,8,0.2,8,2.0,3,24,4,9,4,6,5,7,0,0,0,0
164,0,0,164,8,0.2,8,2.0,3,24,4,9,4,6,5,7,0,0,0,0
165,0,0,165,8,0.2,8,2.0,3,24,4,9,4,6,6,7,0,0,0,0
166,0,0,166,8,0.2,8,2.0,3,24,4,9,4,6,6,7,0,0,0,0
167,0,0,167,8,0.2,8,2.0,3,24,4,9,4,6,6,7,0,0,0,0
168,0,0,168,8,0.2,8,2.0,3,25,4,9,4,6,6,7,0,0,0,0
169,0,0,169,8,0.2,8,2.0,3,25,4,9,4,6,6,7,0,0,0,0
170,0,0,170,8,0.2,8,2.0,3,25,4,9,4,6,7,7,0,1,0,0
171,0,0,171,8,0.2,8,2.0,3,25,4,9,4,6,7,7,0,0,0,0
172,0,0,172,8,0.2,8,2.0,3,25,4,9,4,6,7,7,0,0,0,0
173,0,0,173,8,0.2,8,2.0,3,25,4,9,4,6,7,7,0,0,0,0
174,0,0,174,8,0.2,8,2.0,3,25,4,9,4,6,7,7,0,0,0,0
175,0,0,175,8,0.2,8,2.0,3,25,4,9,4,6,7,7,0,0,0,0
176,0,0,176,8,0.2,8,2.0,3,25,4,9,4,6,7,7,0,0,0,0
177,0,0,177,8,0.2,8,2.0,3,25,4,9,4,6,7,7,0,0,0,0
178,0,0,178,8,0.2,8,2.0,3,25,4,9,4,6,7,7,0,0,0,0
179,0,0,179,8,0.2,8,2.0,3,25,4,10,4,6,7,7,0,0,0,0
180,0,0,180,8,0.2,8,2.0,3,25,4,10,4,6,7,7,0,0,0,0
181,0,0,181,8,0.2,8,2.0,3,25,4,10,4,6,7,7,0,0,0,0
182,0,0,182,8,0.2,8,2.0,3,25,4,10,4,6,7,7,0,0,0,0
183,0,0,183,8,0.2,8,2.0,3,25,4,10,4,6,7,7,0,0,0,0
184,0,0,184,8,0.2,8,2.0,3,25,4,11,4,6,7,8,0,0,0,1
185,0,0,185,8,0.2,8,2.0,3,25,4,11,4,6,7,8,0,0,0,0
186,0,0,186,8,0.2,8,2.0,3,25,4,11,4,6,7,8,0,0,0,0
187,0,0,187,8,0.2,8,2.0,3,25,4,11,4,6,7,8,0,0,0,0
188,0,0,188,8,0.2,8,2.0,3,25,4,11,4,6,7,8,0,0,0,0
189,0,0,189,8,0.2,8,2.0,3,25,4,11,4,6,7,8,0,0,0,0
190,0,0,190,8,0.2,8,2.0,3,25,4,11,4,6,7,8,0,0,0,0
191,0,0,191,8,0.2,8,2.0,3,25,4,11,4,7,7,8,0,0,0,0
192,0,0,192,8,0.2,8,2.0,3,25,4,11,4,7,7,8,0,0,0,0
193,0,0,193,8,0.2,8,2.0,3,25,4,11,4,7,7,8,0,0,0,0
194,0,0,194,8,0.2,8,2.0,3,25,4,11,4,7,7,8,0,0,0,0
195,0,0,195,8,0.2,8,2.0,3,25,4,11,4,7,7,8,0,0,0,0
196,0,0,196,8,0.2,8,2.0,3,25,4,11,4,7,7,8,0,0,1,0
197,0,0,197,8,0.2,8,2.0,3,25,4,11,5,7,7,8,0,0,0,0
198,0,0,198,8,0.2,8,2.0,3,25,4,11,5,7,7,8,0,0,0,0
199,0,0,199,8,0.2,8,2.0,3,25,4,11,5,7,7,8,0,0,0,0
200,0,0,200,8,0.2,8,2.0,3,25,4,11,5,7,7,8,0,0,0,1
201,1,0,0,10,0.2,10,2.3,2,0,4,0,0,0,0,0,0,0,0,0
202,1,0,1,10,0.2,10,2.3,2,2,4,0,0,0,0,0,0,0,0,0
